facility_id,facility_name,latitude,longitude,facility_type,district,street_address,complete_address
node/4445104811,Ramkrishna Care Hospital,21.2130814,81.6537238,Hospital,RAIPUR,"Aurobindo Enclave, Pachpedi Naka, Dhamtari Road, NH43,","(Ramkrishna Care Medical Sciences Pvt Ltd) Aurobindo Enclave,Pachpedi Naka,Dhamatri Road"
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,21.2132613,81.657736,Hospital,RAIPUR,"Dhamtari Road, Lalpur","Dhamtari Road, Lalpur Near Pachpedi Naka"
node/4445113471,Suyash Superspeciality Hospital,21.2584938,81.6060273,Hospital,RAIPUR,"Gudhiyari Road, Behind hotel piccadily, kota","Kota Gudhiyari Road, Behind Hotel Piccadilly"
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),21.2520112,81.6632415,Hospital,RAIPUR,"Infront of shankar nagargarden, main road, sector-1, shankar nagar,","Sector - 1, Shankar Nagar"
node/4445137285,Bal Gopal Children Hospital and Research Institute,21.2349337,81.6413322,Hospital,RAIPUR,"Near mahila police thane, byron bazar road","Opposite Ashirwad Bhawan, Byron Bazar"
node/5556568170,Navkar Hospital and Maternity Home,21.2284143,81.6545326,Hospital,RAIPUR,,"C-63, Shailendra Nagar, Near Rajendra Nagar Police Chowki"
node/6950645744,Karma Hospital,21.2401756,81.6622585,Hospital,RAIPUR,,Telibandha
node/6950645749,Chhattisgarh Eye Hospital,21.2392112,81.6621937,Hospital,RAIPUR,,Near Shyam Nagar
node/6950645773,Devi Laxmi Hospital,21.2233136,81.6522994,Hospital,RAIPUR,,B-19/5 Ring Road Tagore Nagar
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,21.2142649,81.6503232,Hospital,RAIPUR,,"Infront Of Jain Mandir, Near Ramkrishna Care Hospital,Dawada Colony,Pachpedi Naka"
node/6953541281,Aashirwad Fertility and Endoscopy Center,21.2346486,81.6077931,Hospital,RAIPUR,,Danganiya Near Shitla Mandir
node/6956627645,"Samarpan Hospital, Raipur",21.2650092,81.6679336,Hospital,RAIPUR,,Om Santi Niketan School Adarsh Nagar Mowa
node/6956627650,Sai Sushrusha Hospital,21.2352073,81.6418236,Hospital,RAIPUR,,"Behind Aashirwad Bhawan,Byron Bazar"
node/6956627655,Sai Kalayan Hospital And Icu,21.2499934,81.6684566,Hospital,RAIPUR,,"Near Jagannath Mandir, Gayatri Nagar"
node/6956627660,Sai Baba Eye Hospital,21.2595225,81.6370104,Hospital,RAIPUR,,"Near Choti Line, Fafadih"
node/6956627669,Raipur Institute Of Medical Sciences Hospital,21.2419875,81.8368053,Hospital,RAIPUR,,"Bhansoj Road, N.H-6,M.M.Funcit"
node/6956629791,Prannath Mission Hospital,21.2647055,81.6395652,Hospital,RAIPUR,,"Street No. 4, Sanmati Nagar, Near Jain Mandir, Fafadih"
node/6956629796,Piles Care Hospital,21.2454024,81.6468099,Hospital,RAIPUR,,"Raja Talab Road, Near Ghari Chowk"
node/6956629801,Tharani Children Hospital And Dental Clinic,21.2248204,81.6595718,Hospital,RAIPUR,,"Opposite Vijayta Complex. Main Road, New Rajendra Nagar"
node/6956629810,Dr. M.R. Bhagwat Memorial Hospital,21.2439374,81.6145067,Hospital,RAIPUR,,"7, South Avenue, Choubey Colony"
node/6956629815,Kalda Plastic and Cosmetic Surgery Institute and Burn Centre,21.2166146,81.6572553,Hospital,RAIPUR,,"G.E. Road,Choubey Colony"
node/6956629976,Vidya Hospital And Kidney Centre,21.2491409,81.6617082,Hospital,RAIPUR,,Shankar Nagar Main Road
node/6956655133,Shri Aurobindo Medical Research Centre,21.2145777,81.6542597,Hospital,RAIPUR,,"Pachmedi Naka, Dhamtari Road"
node/6956655140,Shree Sai Care Hospital,21.2398899,81.6698393,Hospital,RAIPUR,,"Infront Of Dwarika Mandir New Tilak Society, Avanti Vihar, Telibandha Road"
node/6956655145,Shree Medishine Hospital - Raipur,21.2200322,81.6655757,Hospital,RAIPUR,,New Rajendra Nagar Amlidih Near Drowanacharya School
node/6956655152,Sarvodaya Hospital and Maternity Center,21.2715555,81.6710436,Hospital,RAIPUR,,"Dubey Colony, Mowa, Near Mowa Police Station"
node/6957120029,Visharad Hospital,21.2391162,81.6413422,Hospital,RAIPUR,,Opposite Subhash Stadium
node/6957120034,Urmila Memorial Multispeciality Hospital,21.2582818,81.6553302,Hospital,RAIPUR,,"Behind Cg Elite Building, Ashoka Gali, Pandari"
node/6957120039,"Upadhyay Hospital, Raipur",21.2625908,81.5873668,Hospital,RAIPUR,,"Arjun Vihar Heerapur Road, Opp: Harshit Tower"
node/6957120057,Subham Hospital and Maternity Home,21.2599874,81.6282919,Hospital,RAIPUR,,"Near Shukrari Bazar, Gudhiyari"
node/6957120062,Subba Rao Hospital,21.2570692,81.6373428,Hospital,RAIPUR,,"Near Hotel Celebration, Bastar Bada, Bastar Bada Jail Road"
node/6957120067,Srimaa Sarada Arogyadham,21.2308046,81.5954804,Hospital,RAIPUR,,"Madhav Rao Sapre Ward, a"
node/6957120077,Sobhagya Hospital,21.2740474,81.6335745,Hospital,RAIPUR,,Sivanand Nagar Sector-1 Near Hawa Ghar
node/6957120082,"Shri Ram Hospital, Raipur",21.2361049,81.6117065,Hospital,RAIPUR,,"Daganiya Road, Sundar Nagar Road"
node/6957133287,Shri Balaji Institute Of Medical Science Pvt Ltd,21.2724251,81.6717492,Hospital,RAIPUR,,"Ekta Chow Duby Colony, Near Moina Police Station"
node/6957503647,"Pathak Hospital, Raipur",21.264633,81.6358182,Hospital,RAIPUR,,Nand Kumar Pathak Fafadih Naka
