metric,date,mean_value,min_value,max_value,records
gwl,2022-09-07,-5.7895,-6.807,-4.772,2
gwl,2022-09-08,-5.406499999999999,-6.563,-3.937,4
gwl,2022-09-09,-5.90025,-6.623,-4.681,4
gwl,2022-09-10,-6.404,-8.202,-5.002,4
gwl,2022-09-11,-7.0447500000000005,-9.419,-5.303,4
gwl,2022-09-12,-6.4515,-7.357,-5.457,4
gwl,2022-09-13,-6.0767500000000005,-6.972,-5.034,4
gwl,2022-09-14,-6.317,-7.068,-5.348,4
gwl,2022-09-15,-7.4055,-8.645,-5.771,4
gwl,2022-09-16,-6.119000000000001,-8.253,-0.872,5
gwl,2022-09-17,-7.59475,-8.224,-6.557,4
gwl,2022-09-18,-7.942500000000001,-8.639,-6.626,4
gwl,2022-09-19,-6.6562,-9.569,-0.878,5
gwl,2022-09-20,-3.573875,-7.472,-0.255,8
gwl,2022-09-21,-3.3846249999999998,-7.411,-0.291,8
gwl,2022-09-22,-3.3653750000000002,-7.053,-0.536,8
gwl,2022-09-23,-3.396,-6.602,-0.553,7
gwl,2022-09-24,-6.6155,-8.264,-4.996,4
gwl,2022-09-25,-6.5175,-7.055,-5.073,4
gwl,2022-09-26,-7.02925,-8.66,-5.416,4
gwl,2022-09-27,-7.763999999999999,-9.118,-5.787,4
gwl,2022-09-28,-7.44125,-8.251,-6.155,4
gwl,2022-09-29,-4.262428571428571,-8.742,-0.248,7
gwl,2022-09-30,-3.669125,-8.362,-0.037,8
gwl,2022-10-01,-4.063125,-9.483,-0.26,8
gwl,2022-10-02,-4.20225,-9.511,-0.541,8
gwl,2022-10-03,-4.3605,-9.587,-0.548,8
gwl,2022-10-04,-3.6095,-7.443,-0.562,8
gwl,2022-10-05,-3.8625,-8.643,-0.549,8
gwl,2022-10-06,-3.83075,-8.353,-0.567,8
gwl,2022-10-07,-3.877,-8.993,-0.593,8
gwl,2022-10-08,-4.12025,-8.364,-0.611,8
gwl,2022-10-09,-4.9592857142857145,-9.527,-1.031,7
gwl,2022-10-10,-7.5075,-9.126,-6.657,4
gwl,2022-10-11,-7.1035,-7.986,-6.351,4
gwl,2022-10-12,-7.1845,-8.354,-5.826,4
gwl,2022-10-13,-6.87275,-7.494,-5.521,4
gwl,2022-10-14,-7.196,-9.141,-5.487,4
gwl,2022-10-15,-6.88875,-7.541,-5.546,4
gwl,2022-10-16,-7.314500000000001,-9.114,-5.519,4
gwl,2022-10-17,-6.579,-7.523,-5.926,4
