facility_id,facility_name,facility_type,district,latitude,longitude,gwl_value,rainfall_value,river_level_value,temperature_value,humidity_value,wind_speed_value,dist_to_river_km,rolling_rain_3d,river_anomaly,heat_stress,moisture_risk,storm_risk,storage_flag,crs,risk_level,last_updated,load_stress,water_availability,flood_safety,rainfall_stability,electricity_reliability
node/4445104811,Ramkrishna Care Hospital,Hospital,RAIPUR,21.2130814,81.6537238,-6.336,0.5,277.637,20.5,76.37,40.0,14.98746581713008,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,Hospital,RAIPUR,21.2132613,81.657736,-6.336,0.5,277.637,20.5,76.37,40.0,15.229283201643016,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/4445113471,Suyash Superspeciality Hospital,Hospital,RAIPUR,21.2584938,81.6060273,-6.336,0.5,277.637,20.5,76.37,40.0,18.00161123907191,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),Hospital,RAIPUR,21.2520112,81.6632415,-6.336,0.5,277.637,20.5,76.37,40.0,19.23443524663062,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/4445137285,Bal Gopal Children Hospital and Research Institute,Hospital,RAIPUR,21.2349337,81.6413322,-6.336,0.5,277.637,20.5,76.37,40.0,16.535336552496307,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/5556568170,Navkar Hospital and Maternity Home,Hospital,RAIPUR,21.2284143,81.6545326,-6.336,0.5,277.637,20.5,76.37,40.0,16.49740229313503,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6950645744,Karma Hospital,Hospital,RAIPUR,21.2401756,81.6622585,-6.336,0.5,277.637,20.5,76.37,40.0,18.029770234477922,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6950645749,Chhattisgarh Eye Hospital,Hospital,RAIPUR,21.2392112,81.6621937,-6.336,0.5,277.637,20.5,76.37,40.0,17.933107489926922,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6950645773,Devi Laxmi Hospital,Hospital,RAIPUR,21.2233136,81.6522994,-6.336,0.5,277.637,20.5,76.37,40.0,15.889556379712754,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,Hospital,RAIPUR,21.2142649,81.6503232,-6.336,0.5,277.637,20.5,76.37,40.0,14.916158880831407,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
