SN,Name of Town,Maintenance activity Scheduled for,Outage Affected Area,Outage Area,Outage Start Date,Outage Start Time,Outage End Date (Expected),Outage End Time (Expected),Outage_Type
1,,11KV KONI,MASTURI DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today)
2,,11KV KOSAMDIH,MASTURI DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today)
3,,11KV MASTURI TOWN,MASTURI DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today)
4,,11KV RISDA,MASTURI DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today)
5,JAIRAM NAGAR,11KV JAIRAM NAGAR,JAIRAM NAGAR DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today)
6,JAIRAM NAGAR,11KV JAIRAMNAGAR PUMP,JAIRAM NAGAR DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today)
7,JAIRAM NAGAR,11KV KHAIRA NEW,JAIRAM NAGAR DC,BREAKDOWN,2026-03-14,00:10:00,2026-03-14,01:00:00,All Outages (Today)
8,RAIPUR,11KV SHRISHTHI GARDEN,PURENA,TELIBANDHA AND NEARBY AREA,2026-03-14,00:50:00,2026-03-14,03:00:00,All Outages (Today)
9,DURG,11KV PUSHP VATIKA,BAGHERA,...,2026-03-14,03:20:00,2026-03-14,04:00:00,All Outages (Today)
10,RAIPUR,11KV CIVIL LINE,CIVIL LINES,CIVIL LINE AND NEARBY AREA,2026-03-14,08:00:00,2026-03-14,14:00:00,All Outages (Today)
