X,Y,id,@id,addr:city,addr:district,addr:full,addr:housenumber,addr:postcode,addr:state,addr:street,addr:subdistrict,amenity,check_date,contact:phone,description,education,emergency,grades,healthcare,healthcare:speciality,name,operator,operator:type,phone,religion,shop,source,website,wheelchair,wikidata
81.6232005,21.2414376,node/3774564938,node/3774564938,Raipur,,,,492001.0,,budhapara,,hospital,,,hospital,,yes,,hospital,,bagri nursing home,nursing,,,,,,,,
81.6537238,21.2130814,node/4445104811,node/4445104811,Raipur,Raipur,"(Ramkrishna Care Medical Sciences Pvt Ltd) Aurobindo Enclave,Pachpedi Naka,Dhamatri Road",,492001.0,Chhattisgarh,"Aurobindo Enclave, Pachpedi Naka, Dhamtari Road, NH43,",,hospital,,,,,no,,,,Ramkrishna Care Hospital,,,+91 7713003300,,,OpenGovernmentData,https://www.carehospitals.com/,,
81.657736,21.2132613,node/4445112827,node/4445112827,Raipur,Raipur,"Dhamtari Road, Lalpur Near Pachpedi Naka",,492015.0,Chhattisgarh,"Dhamtari Road, Lalpur",,hospital,,,,,yes,,,,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,,,+91 7714210901,,,OpenGovernmentData,,,
81.6060273,21.2584938,node/4445113471,node/4445113471,Raipur,Raipur,"Kota Gudhiyari Road, Behind Hotel Piccadilly",,492010.0,Chhattisgarh,"Gudhiyari Road, Behind hotel piccadily, kota",,hospital,,7712575833,,,yes,,,,Suyash Superspeciality Hospital,,,+91 7712575275,,,OpenGovernmentData,www.suyashhospitalsraipur.com,,
81.6635818,21.1943876,node/4445117924,node/4445117924,raipur,,,,492015.0,,Devpuni-dunda road krishna puram dundaraipur,,school,,,,,,,,,Krishna Public School,,,7714289200,,,,,,
81.6561777,21.2131689,node/4445119946,node/4445119946,Raipur,,,,492001.0,,"Infront of colors mall, Dhamtari road",,hospital,,,,,yes,,,,Shri Ganesh Vinayak Eye Hospital,,,+91 7714077741,,,,https://sgveh.com/,,
81.6480843,21.2374171,node/4445120486,node/4445120486,raipur,,,,492001.0,,Near IDBI bank civil lines katara Talab raipur,,school,,,,,,,,,Holy Heartseducational academy,,,7712431088,,,,,,
81.6495081,21.2349537,node/4445126014,node/4445126014,raipur,,,,492001.0,,"Shree prahalad ahuya foundation, katora Talab civil lines talab",,school,,,,,,,,,Mayoor school,,,7714235000,,,,,,
81.6632415,21.2520112,node/4445129008,node/4445129008,Raipur,Raipur,"Sector - 1, Shankar Nagar",,492007.0,Chhattisgarh,"Infront of shankar nagargarden, main road, sector-1, shankar nagar,",,hospital,,7712425778,,,yes,,,,Vardaan Hospital (Unit Of Jindal Medicare),,,+91 7712425778,,,OpenGovernmentData,www.vardaanhospital.com,,
81.6413322,21.2349337,node/4445137285,node/4445137285,Raipur,Raipur,"Opposite Ashirwad Bhawan, Byron Bazar",,492001.0,Chhattisgarh,"Near mahila police thane, byron bazar road",,hospital,,,,,yes,,,,Bal Gopal Children Hospital and Research Institute,,,+91 7714225600,,,OpenGovernmentData,www.balgopalhospital.in,,
