facility_id,facility_name,facility_type,district,latitude,longitude
node/3774564938,bagri nursing home,Hospital,RAIPUR,21.2414376,81.6232005
node/4445104811,Ramkrishna Care Hospital,Hospital,RAIPUR,21.2130814,81.6537238
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,Hospital,RAIPUR,21.2132613,81.657736
node/4445113471,Suyash Superspeciality Hospital,Hospital,RAIPUR,21.2584938,81.6060273
node/4445117924,Krishna Public School,School,RAIPUR,21.1943876,81.6635818
node/4445119946,Shri Ganesh Vinayak Eye Hospital,Hospital,RAIPUR,21.2131689,81.6561777
node/4445120486,Holy Heartseducational academy,School,RAIPUR,21.2374171,81.6480843
node/4445126014,Mayoor school,School,RAIPUR,21.2349537,81.6495081
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),Hospital,RAIPUR,21.2520112,81.6632415
node/4445137285,Bal Gopal Children Hospital and Research Institute,Hospital,RAIPUR,21.2349337,81.6413322
