facility_id,facility_name,row_index,feature_1,shap_1,feature_2,shap_2,feature_3,shap_3,risk_type,horizon
node/4445104811,Ramkrishna Care Hospital,0,dist_to_river_km,0.1282965210794757,month,-0.1153343239028993,latitude,-0.0723601280476416,outage,7d
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,1,dist_to_river_km,0.1278711227454616,month,-0.1152567962618327,latitude,-0.0723607047789793,outage,7d
node/4445113471,Suyash Superspeciality Hospital,2,dist_to_river_km,-0.1150848057145745,month,-0.0802918276998015,latitude,-0.0775510200038636,outage,7d
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),3,dist_to_river_km,-0.1472386717982598,latitude,-0.080857886594776,month,-0.0766378827157788,outage,7d
node/4445137285,Bal Gopal Children Hospital and Research Institute,4,month,-0.120289806748432,dist_to_river_km,0.0822830512950585,latitude,-0.0740936105061257,outage,7d
node/5556568170,Navkar Hospital and Maternity Home,5,month,-0.1201800841337939,dist_to_river_km,0.0865346720300486,latitude,-0.0740575818107751,outage,7d
node/6950645744,Karma Hospital,6,dist_to_river_km,-0.1164312047032524,month,-0.0803511642451724,latitude,-0.0776946659871126,outage,7d
node/6950645749,Chhattisgarh Eye Hospital,7,dist_to_river_km,-0.1101567574641817,month,-0.0813817151497414,latitude,-0.0770047136147532,outage,7d
node/6950645773,Devi Laxmi Hospital,8,month,-0.1212510608485813,dist_to_river_km,0.1108829179470145,latitude,-0.0758595473910455,outage,7d
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,9,dist_to_river_km,0.1285467473107691,month,-0.1153344692279583,latitude,-0.0723460270882773,outage,7d
node/6953541281,Aashirwad Fertility and Endoscopy Center,10,dist_to_river_km,0.1220051515562458,month,-0.1172188489405015,latitude,-0.0734553965118369,outage,7d
node/6956627645,"Samarpan Hospital, Raipur",11,dist_to_river_km,-0.149973768350407,latitude,-0.0810500753248257,month,-0.076719521707283,outage,7d
node/6956627650,Sai Sushrusha Hospital,12,month,-0.1200379065408658,dist_to_river_km,0.0780027578729645,latitude,-0.0733989172443868,outage,7d
