facility_id,facility_name,row_index,feature_1,shap_1,feature_2,shap_2,feature_3,shap_3,risk_type,horizon
node/4445104811,Ramkrishna Care Hospital,0,temperature,-0.2347972895852177,load_stress,-0.16995954421518505,wind_speed,-0.021769562149782744,human_impact,24h
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,1,temperature,-0.23439419196350217,load_stress,-0.17018487570519203,wind_speed,-0.021962730191696835,human_impact,24h
node/4445113471,Suyash Superspeciality Hospital,2,temperature,-0.23339203787493218,load_stress,-0.17065327472218664,wind_speed,-0.021575786341909736,human_impact,24h
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),3,temperature,-0.23286976214392124,load_stress,-0.17062642135661243,wind_speed,-0.0214875618493847,human_impact,24h
node/4445137285,Bal Gopal Children Hospital and Research Institute,4,temperature,-0.23358155259552973,load_stress,-0.17055142935708592,wind_speed,-0.021417691560390147,human_impact,24h
node/5556568170,Navkar Hospital and Maternity Home,5,temperature,-0.23328297982944846,load_stress,-0.17062359811141248,wind_speed,-0.02178714951951853,human_impact,24h
node/6950645744,Karma Hospital,6,temperature,-0.23338346139711122,load_stress,-0.1706561237612688,wind_speed,-0.021575786341909736,human_impact,24h
node/6950645749,Chhattisgarh Eye Hospital,7,temperature,-0.23340530514999472,load_stress,-0.17061737613632913,wind_speed,-0.021580853598773056,human_impact,24h
node/6950645773,Devi Laxmi Hospital,8,temperature,-0.23328423648764707,load_stress,-0.1707462464061904,wind_speed,-0.02171726390694841,human_impact,24h
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,9,temperature,-0.2347972584277542,load_stress,-0.16995915535018843,wind_speed,-0.021769562149782744,human_impact,24h
node/6953541281,Aashirwad Fertility and Endoscopy Center,10,temperature,-0.2338108667780604,load_stress,-0.1707050885685777,wind_speed,-0.02196244028401091,human_impact,24h
node/6956627645,"Samarpan Hospital, Raipur",11,temperature,-0.23371450972733995,load_stress,-0.16988878339681526,wind_speed,-0.021397388994625937,human_impact,24h
node/6956627650,Sai Sushrusha Hospital,12,temperature,-0.23358155259552973,load_stress,-0.17055142935708592,wind_speed,-0.021417691560390147,human_impact,24h
