facility_id,facility_name,row_index,feature_1,shap_1,feature_2,shap_2,feature_3,shap_3,risk_type,horizon
node/4445104811,Ramkrishna Care Hospital,0,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,1,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/4445113471,Suyash Superspeciality Hospital,2,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),3,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/4445137285,Bal Gopal Children Hospital and Research Institute,4,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/5556568170,Navkar Hospital and Maternity Home,5,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6950645744,Karma Hospital,6,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6950645749,Chhattisgarh Eye Hospital,7,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6950645773,Devi Laxmi Hospital,8,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,9,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6953541281,Aashirwad Fertility and Endoscopy Center,10,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956627645,"Samarpan Hospital, Raipur",11,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956627650,Sai Sushrusha Hospital,12,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956627655,Sai Kalayan Hospital And Icu,13,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956627660,Sai Baba Eye Hospital,14,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956627669,Raipur Institute Of Medical Sciences Hospital,15,month,-1.930234432220459,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956629791,Prannath Mission Hospital,16,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956629796,Piles Care Hospital,17,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956629801,Tharani Children Hospital And Dental Clinic,18,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956629810,Dr. M.R. Bhagwat Memorial Hospital,19,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956629815,Kalda Plastic and Cosmetic Surgery Institute and Burn Centre,20,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956629976,Vidya Hospital And Kidney Centre,21,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956655133,Shri Aurobindo Medical Research Centre,22,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956655140,Shree Sai Care Hospital,23,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956655145,Shree Medishine Hospital - Raipur,24,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6956655152,Sarvodaya Hospital and Maternity Center,25,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6957120029,Visharad Hospital,26,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6957120034,Urmila Memorial Multispeciality Hospital,27,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6957120039,"Upadhyay Hospital, Raipur",28,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6957120057,Subham Hospital and Maternity Home,29,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
node/6957120062,Subba Rao Hospital,30,month,-1.933717966079712,temperature,-1.5008461475372314,rainfall,-1.3727493286132812,human_impact,7d
