facility_id,facility_name,row_index,feature_1,shap_1,feature_2,shap_2,feature_3,shap_3,risk_type,horizon
node/4445104811,Ramkrishna Care Hospital,0,gwl,-3.7602055072784424,dist_to_river_km,2.4637339115142822,weather_stress_index,-2.3701634407043457,outage,24h
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,1,gwl,-3.9117987155914307,weather_stress_index,-2.4646730422973633,river_level,2.0302574634552,outage,24h
node/4445113471,Suyash Superspeciality Hospital,2,gwl,-3.893752336502075,weather_stress_index,-2.8959696292877197,dist_to_river_km,-2.784938097000122,outage,24h
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),3,gwl,-3.6277968883514404,dist_to_river_km,-3.480919122695923,weather_stress_index,-3.0452632904052734,outage,24h
node/4445137285,Bal Gopal Children Hospital and Research Institute,4,gwl,-4.214053153991699,weather_stress_index,-2.8047683238983154,river_level,2.244774580001831,outage,24h
node/5556568170,Navkar Hospital and Maternity Home,5,gwl,-4.233758449554443,weather_stress_index,-2.8104023933410645,river_level,2.2445435523986816,outage,24h
node/6950645744,Karma Hospital,6,gwl,-3.8853671550750732,weather_stress_index,-2.8904056549072266,dist_to_river_km,-2.8281595706939697,outage,24h
node/6950645749,Chhattisgarh Eye Hospital,7,gwl,-3.866760492324829,weather_stress_index,-2.952454090118408,dist_to_river_km,-2.699430227279663,outage,24h
node/6950645773,Devi Laxmi Hospital,8,gwl,-3.8259963989257812,weather_stress_index,-2.604013204574585,river_level,2.2628161907196045,outage,24h
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,9,gwl,-3.7560267448425293,dist_to_river_km,2.5464627742767334,weather_stress_index,-2.340747594833374,outage,24h
node/6953541281,Aashirwad Fertility and Endoscopy Center,10,gwl,-3.910709857940674,weather_stress_index,-2.455228567123413,river_level,2.1192736625671387,outage,24h
node/6956627645,"Samarpan Hospital, Raipur",11,dist_to_river_km,-4.523012638092041,gwl,-3.504945755004883,weather_stress_index,-3.074829578399658,outage,24h
node/6956627650,Sai Sushrusha Hospital,12,gwl,-4.176578044891357,weather_stress_index,-2.808464288711548,river_level,2.2611165046691895,outage,24h
node/6956627655,Sai Kalayan Hospital And Icu,13,gwl,-3.6085941791534424,dist_to_river_km,-3.531075954437256,weather_stress_index,-3.0414109230041504,outage,24h
node/6956627660,Sai Baba Eye Hospital,14,gwl,-3.6629292964935303,dist_to_river_km,-3.1611711978912354,weather_stress_index,-2.8705263137817383,outage,24h
node/6956627669,Raipur Institute Of Medical Sciences Hospital,15,gwl,-3.727147102355957,dist_to_river_km,-2.9244887828826904,weather_stress_index,-2.88818621635437,outage,24h
node/6956629791,Prannath Mission Hospital,16,dist_to_river_km,-4.3196916580200195,gwl,-3.5502560138702393,weather_stress_index,-3.0337424278259277,outage,24h
node/6956629796,Piles Care Hospital,17,gwl,-3.8661086559295654,weather_stress_index,-3.0080716609954834,dist_to_river_km,-2.510969877243042,outage,24h
node/6956629801,Tharani Children Hospital And Dental Clinic,18,gwl,-4.17894983291626,weather_stress_index,-2.786524534225464,river_level,2.2709152698516846,outage,24h
node/6956629810,Dr. M.R. Bhagwat Memorial Hospital,19,gwl,-4.176578044891357,weather_stress_index,-2.808464288711548,river_level,2.2611165046691895,outage,24h
node/6956629815,Kalda Plastic and Cosmetic Surgery Institute and Burn Centre,20,gwl,-3.8849587440490723,weather_stress_index,-2.5447046756744385,river_level,2.2340712547302246,outage,24h
node/6956629976,Vidya Hospital And Kidney Centre,21,gwl,-3.6742353439331055,dist_to_river_km,-3.126072645187378,weather_stress_index,-2.8645081520080566,outage,24h
node/6956655133,Shri Aurobindo Medical Research Centre,22,gwl,-3.8407931327819824,weather_stress_index,-2.424706220626831,dist_to_river_km,2.253685712814331,outage,24h
node/6956655140,Shree Sai Care Hospital,23,gwl,-3.872668504714966,dist_to_river_km,-2.9546124935150146,weather_stress_index,-2.8901522159576416,outage,24h
node/6956655145,Shree Medishine Hospital - Raipur,24,gwl,-3.945401430130005,weather_stress_index,-2.745161294937134,river_level,2.280550003051758,outage,24h
node/6956655152,Sarvodaya Hospital and Maternity Center,25,dist_to_river_km,-4.53687858581543,gwl,-3.504945755004883,weather_stress_index,-3.068570613861084,outage,24h
node/6957120029,Visharad Hospital,26,gwl,-4.0375657081604,weather_stress_index,-2.9133667945861816,river_level,2.2248497009277344,outage,24h
node/6957120034,Urmila Memorial Multispeciality Hospital,27,dist_to_river_km,-3.7900640964508057,gwl,-3.5954883098602295,weather_stress_index,-3.0655384063720703,outage,24h
node/6957120039,"Upadhyay Hospital, Raipur",28,gwl,-3.870408535003662,dist_to_river_km,-2.8988747596740723,weather_stress_index,-2.8889873027801514,outage,24h
node/6957120057,Subham Hospital and Maternity Home,29,gwl,-3.731590986251831,dist_to_river_km,-2.982654094696045,weather_stress_index,-2.8804357051849365,outage,24h
node/6957120062,Subba Rao Hospital,30,gwl,-3.7323174476623535,dist_to_river_km,-2.998875617980957,weather_stress_index,-2.882858991622925,outage,24h
node/6957120067,Srimaa Sarada Arogyadham,31,gwl,-3.7273807525634766,dist_to_river_km,2.734299659729004,weather_stress_index,-2.313040256500244,outage,24h
node/6957120077,Sobhagya Hospital,32,dist_to_river_km,-4.49768590927124,gwl,-3.5050134658813477,weather_stress_index,-3.074854850769043,outage,24h
node/6957120082,"Shri Ram Hospital, Raipur",33,gwl,-3.800441026687622,weather_stress_index,-2.596501350402832,river_level,2.259911298751831,outage,24h
node/6957133287,Shri Balaji Institute Of Medical Science Pvt Ltd,34,dist_to_river_km,-4.53687858581543,gwl,-3.504945755004883,weather_stress_index,-3.068570613861084,outage,24h
