facility_id,facility_name,row_index,feature_1,shap_1,feature_2,shap_2,feature_3,shap_3,risk_type,horizon
node/4445104811,Ramkrishna Care Hospital,0,gwl,-5.413049697875977,rainfall,4.237193584442139,river_level,2.7128801345825195,sanitation_failure,24h
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,1,gwl,-5.50104284286499,rainfall,4.245837688446045,river_level,2.683924913406372,sanitation_failure,24h
node/4445113471,Suyash Superspeciality Hospital,2,gwl,-6.352524280548096,rainfall,4.04725456237793,river_level,2.732978343963623,sanitation_failure,24h
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),3,gwl,-5.766939640045166,rainfall,4.5039496421813965,river_level,2.886915683746338,sanitation_failure,24h
node/4445137285,Bal Gopal Children Hospital and Research Institute,4,gwl,-6.727598667144775,rainfall,3.808300495147705,river_level,2.5478222370147705,sanitation_failure,24h
node/5556568170,Navkar Hospital and Maternity Home,5,gwl,-6.754059791564941,rainfall,3.7598204612731934,river_level,2.567692756652832,sanitation_failure,24h
node/6950645744,Karma Hospital,6,gwl,-6.303795337677002,rainfall,4.082737922668457,river_level,2.733729124069214,sanitation_failure,24h
node/6950645749,Chhattisgarh Eye Hospital,7,gwl,-6.39376163482666,rainfall,4.031013488769531,river_level,2.733032464981079,sanitation_failure,24h
node/6950645773,Devi Laxmi Hospital,8,gwl,-6.293920993804932,rainfall,4.000759124755859,river_level,2.4702844619750977,sanitation_failure,24h
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,9,gwl,-5.374669551849365,rainfall,4.26716947555542,dist_to_river_km,2.815490245819092,sanitation_failure,24h
node/6953541281,Aashirwad Fertility and Endoscopy Center,10,gwl,-5.544460773468018,rainfall,4.234978199005127,river_level,2.7093396186828613,sanitation_failure,24h
node/6956627645,"Samarpan Hospital, Raipur",11,gwl,-5.559777736663818,rainfall,4.678688049316406,dist_to_river_km,-3.3438634872436523,sanitation_failure,24h
node/6956627650,Sai Sushrusha Hospital,12,gwl,-6.673392295837402,rainfall,3.8391807079315186,river_level,2.5836431980133057,sanitation_failure,24h
node/6956627655,Sai Kalayan Hospital And Icu,13,gwl,-5.760695457458496,rainfall,4.509111404418945,river_level,2.8840107917785645,sanitation_failure,24h
node/6956627660,Sai Baba Eye Hospital,14,gwl,-5.874080181121826,rainfall,4.515455722808838,river_level,2.7628703117370605,sanitation_failure,24h
node/6956627669,Raipur Institute Of Medical Sciences Hospital,15,gwl,-5.507814407348633,rainfall,4.781458854675293,river_level,2.738487958908081,sanitation_failure,24h
node/6956629791,Prannath Mission Hospital,16,gwl,-5.638126373291016,rainfall,4.703552722930908,dist_to_river_km,-2.922459363937378,sanitation_failure,24h
node/6956629796,Piles Care Hospital,17,gwl,-6.439305782318115,rainfall,3.9685189723968506,river_level,2.767287492752075,sanitation_failure,24h
