facility_id,facility_name,row_index,feature_1,shap_1,feature_2,shap_2,feature_3,shap_3,risk_type,horizon
node/4445104811,Ramkrishna Care Hospital,0,month,-0.12100840282914867,gwl,-0.10938749729652186,dist_to_river_km,0.08932978838335902,sanitation_failure,7d
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,1,month,-0.12108881767390804,gwl,-0.10980275889856381,dist_to_river_km,0.08663565877414685,sanitation_failure,7d
node/4445113471,Suyash Superspeciality Hospital,2,month,-0.1303656209272314,gwl,-0.12298008148963882,dist_to_river_km,-0.05642172575935893,sanitation_failure,7d
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),3,month,-0.13290420314971207,gwl,-0.1246693586863357,dist_to_river_km,-0.0992636816542427,sanitation_failure,7d
node/4445137285,Bal Gopal Children Hospital and Research Institute,4,month,-0.12527665318430586,gwl,-0.11406752729406425,river_level,0.06315812996931972,sanitation_failure,7d
node/5556568170,Navkar Hospital and Maternity Home,5,month,-0.12364976009928945,gwl,-0.11269390623332876,river_level,0.06441022378467709,sanitation_failure,7d
node/6950645744,Karma Hospital,6,month,-0.1312875531653901,gwl,-0.12295529615792902,dist_to_river_km,-0.058079034337154965,sanitation_failure,7d
node/6950645749,Chhattisgarh Eye Hospital,7,month,-0.13059739303722312,gwl,-0.12258183543381658,river_level,0.056082703993666,sanitation_failure,7d
node/6950645773,Devi Laxmi Hospital,8,month,-0.12361469813491767,gwl,-0.11172788801273231,dist_to_river_km,0.06911568315116144,sanitation_failure,7d
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,9,month,-0.1208300530253732,gwl,-0.1093102836670862,dist_to_river_km,0.0899907399530389,sanitation_failure,7d
node/6953541281,Aashirwad Fertility and Endoscopy Center,10,month,-0.1229099331594008,gwl,-0.11136065380795537,dist_to_river_km,0.0777501984675134,sanitation_failure,7d
node/6956627645,"Samarpan Hospital, Raipur",11,month,-0.12899056064257386,gwl,-0.12059649147697356,dist_to_river_km,-0.10712405318277815,sanitation_failure,7d
node/6956627650,Sai Sushrusha Hospital,12,month,-0.12518633670173002,gwl,-0.11405939258090741,river_level,0.0634064079806804,sanitation_failure,7d
node/6956627655,Sai Kalayan Hospital And Icu,13,month,-0.1323239943471962,gwl,-0.12463639439886728,dist_to_river_km,-0.09954221301752518,sanitation_failure,7d
node/6956627660,Sai Baba Eye Hospital,14,month,-0.13502734899340665,gwl,-0.12478006442836974,dist_to_river_km,-0.09538950999074165,sanitation_failure,7d
node/6956627669,Raipur Institute Of Medical Sciences Hospital,15,month,-0.09251253075820708,dist_to_river_km,-0.08906082213312515,gwl,-0.08898415534709055,sanitation_failure,7d
node/6956629791,Prannath Mission Hospital,16,month,-0.12995063839439724,gwl,-0.12230832324014577,dist_to_river_km,-0.10361548348858003,sanitation_failure,7d
