facility_id,facility_name,row_index,feature_1,shap_1,feature_2,shap_2,feature_3,shap_3,risk_type,horizon
node/4445104811,Ramkrishna Care Hospital,0,gwl,-6.51509428024292,month,-1.6907248497009277,wind_speed,-1.0399401187896729,water_shortage,7d
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,1,gwl,-6.51509428024292,month,-1.6907248497009277,wind_speed,-1.0399401187896729,water_shortage,7d
node/4445113471,Suyash Superspeciality Hospital,2,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),3,gwl,-6.515091419219971,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/4445137285,Bal Gopal Children Hospital and Research Institute,4,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/5556568170,Navkar Hospital and Maternity Home,5,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6950645744,Karma Hospital,6,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6950645749,Chhattisgarh Eye Hospital,7,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6950645773,Devi Laxmi Hospital,8,gwl,-6.515100955963135,month,-1.6907154321670532,wind_speed,-1.0399401187896729,water_shortage,7d
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,9,gwl,-6.51509428024292,month,-1.6907248497009277,wind_speed,-1.0399401187896729,water_shortage,7d
node/6953541281,Aashirwad Fertility and Endoscopy Center,10,gwl,-6.515100479125977,month,-1.6907206773757935,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956627645,"Samarpan Hospital, Raipur",11,gwl,-6.515151500701904,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956627650,Sai Sushrusha Hospital,12,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956627655,Sai Kalayan Hospital And Icu,13,gwl,-6.515091419219971,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956627660,Sai Baba Eye Hospital,14,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956627669,Raipur Institute Of Medical Sciences Hospital,15,gwl,-5.722992420196533,month,-1.811832070350647,crs,-1.0535348653793335,water_shortage,7d
node/6956629791,Prannath Mission Hospital,16,gwl,-6.515093803405762,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956629796,Piles Care Hospital,17,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956629801,Tharani Children Hospital And Dental Clinic,18,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956629810,Dr. M.R. Bhagwat Memorial Hospital,19,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956629815,Kalda Plastic and Cosmetic Surgery Institute and Burn Centre,20,gwl,-6.515100479125977,month,-1.6907190084457397,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956629976,Vidya Hospital And Kidney Centre,21,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956655133,Shri Aurobindo Medical Research Centre,22,gwl,-6.51509428024292,month,-1.6907248497009277,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956655140,Shree Sai Care Hospital,23,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956655145,Shree Medishine Hospital - Raipur,24,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6956655152,Sarvodaya Hospital and Maternity Center,25,gwl,-6.515151500701904,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6957120029,Visharad Hospital,26,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6957120034,Urmila Memorial Multispeciality Hospital,27,gwl,-6.515091419219971,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6957120039,"Upadhyay Hospital, Raipur",28,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6957120057,Subham Hospital and Maternity Home,29,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
node/6957120062,Subba Rao Hospital,30,gwl,-6.515096187591553,month,-1.6907106637954712,wind_speed,-1.0399401187896729,water_shortage,7d
