facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,flood_risk_prob,water_shortage_risk_prob,power_outage_risk_prob,sanitation_failure_risk_prob,human_impact_risk_prob,flood_risk_label,water_shortage_risk_label,power_outage_risk_label,sanitation_failure_risk_label,human_impact_risk_label,top_risk_type,top_risk_score,alert_flag,alert_level
node/4445104811,Ramkrishna Care Hospital,Hospital,RAIPUR,21.2130814,81.6537238,0.4781826078822488,Medium,0.9654713774313778,0.8476146824451946,0.5919552628258457,0.9279028515573761,0.00023551702937800738,High,High,Medium,High,Low,flood,0.9654713774313778,True,Critical
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,Hospital,RAIPUR,21.2132613,81.657736,0.4781826078822488,Medium,0.9654706498522728,0.8476146824451946,0.5919552628258457,0.9279028515573761,0.00018855171000838953,High,High,Medium,High,Low,flood,0.9654706498522728,True,Critical
node/4445113471,Suyash Superspeciality Hospital,Hospital,RAIPUR,21.2584938,81.6060273,0.4781826078822488,Medium,0.9654549645665352,0.014083172193405833,0.4737204005117517,0.9275183373017919,0.00015819552051516244,High,Low,Medium,High,Low,flood,0.9654549645665352,True,Critical
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),Hospital,RAIPUR,21.2520112,81.6632415,0.4781826078822488,Medium,0.9654493206347793,0.014083082995186841,0.47309430934201196,0.9274782238713056,0.00015819552051516244,High,Low,Medium,High,Low,flood,0.9654493206347793,True,Critical
node/4445137285,Bal Gopal Children Hospital and Research Institute,Hospital,RAIPUR,21.2349337,81.6413322,0.4781826078822488,Medium,0.9654454552567896,0.014083082995186841,0.46905800838105866,0.92744883770672,0.00015819552051516244,High,Low,Medium,High,Low,flood,0.9654454552567896,True,Critical
node/5556568170,Navkar Hospital and Maternity Home,Hospital,RAIPUR,21.2284143,81.6545326,0.4781826078822488,Medium,0.9654376201921359,0.014083082995186841,0.4682220587710381,0.9274043218693858,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9654376201921359,True,Critical
node/6950645744,Karma Hospital,Hospital,RAIPUR,21.2401756,81.6622585,0.4781826078822488,Medium,0.9654290635903249,0.014083082995186841,0.46653203903699164,0.9273715479353202,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9654290635903249,True,Critical
node/6950645749,Chhattisgarh Eye Hospital,Hospital,RAIPUR,21.2392112,81.6621937,0.4781826078822488,Medium,0.9654209333217256,0.014083082995186841,0.4634626821380938,0.9273255031673914,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9654209333217256,True,Critical
node/6950645773,Devi Laxmi Hospital,Hospital,RAIPUR,21.2233136,81.6522994,0.4781826078822488,Medium,0.9654171138140675,0.014083082995186841,0.4544521599520647,0.9272968099569733,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9654171138140675,True,Critical
node/6953541281,Aashirwad Fertility and Endoscopy Center,Hospital,RAIPUR,21.2346486,81.6077931,0.4781826078822488,Medium,0.9654110247994754,0.014083082995186841,0.4458455169731513,0.92720248476932,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9654110247994754,True,Critical
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,Hospital,RAIPUR,21.2142649,81.6503232,0.4781826078822488,Medium,0.9653856329230065,0.014083082995186841,0.44613910662074324,0.9271816023979828,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9653856329230065,True,Critical
node/6956627645,"Samarpan Hospital, Raipur",Hospital,RAIPUR,21.2650092,81.6679336,0.4781826078822488,Medium,0.9653710106224889,0.014083082995186841,0.44302023591322515,0.9271415731241243,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9653710106224889,True,Critical
node/6956627650,Sai Sushrusha Hospital,Hospital,RAIPUR,21.2352073,81.6418236,0.4781826078822488,Medium,0.965362504816229,0.014083082995186841,0.43700031354529223,0.9271016089612795,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.965362504816229,True,Critical
node/6956627655,Sai Kalayan Hospital And Icu,Hospital,RAIPUR,21.2499934,81.6684566,0.4781826078822488,Medium,0.9653469930931965,0.014083082995186841,0.43181690332226214,0.9270727302186147,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9653469930931965,True,Critical
node/6956627660,Sai Baba Eye Hospital,Hospital,RAIPUR,21.2595225,81.6370104,0.4781826078822488,Medium,0.9653386076408347,0.014083082995186841,0.3969132645705645,0.9270299411141716,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9653386076408347,True,Critical
node/6956627669,Raipur Institute Of Medical Sciences Hospital,Hospital,RAIPUR,21.2419875,81.8368053,0.375,High,0.9653266169365701,0.014083082995186841,0.38564370993869473,0.9270061846183708,0.00015769293421680542,High,Low,Medium,High,Low,flood,0.9653266169365701,True,Critical
