facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,pred_outage_prob_24h,pred_human_impact_prob_24h,priority_score_24h,predicted_risk_label_24h
node/4994374903,primary government hospital Bangoli,Hospital,RAIPUR,21.4005479,81.8506453,0.625,Medium,0.5919552628258457,0.00023551702937800738,0.6573008538288359,Medium
node/7148125111,Government Hospital Farfoud,Hospital,RAIPUR,21.2743757,81.9506788,0.625,Medium,0.5919552628258457,0.00018855171000838953,0.6572925075716028,Medium
node/4445117924,Krishna Public School,School,RAIPUR,21.1943876,81.6635818,0.4781826078822488,Medium,0.4737204005117517,0.00015819552051516244,0.47587868733041894,Medium
node/7288964616,Om Superspeciality Hospital,Hospital,RAIPUR,21.2292542,81.5986728,0.4781826078822488,Medium,0.47309430934201196,0.00015819552051516244,0.4756828368314163,Medium
node/6965836202,Mahadev Hospital,Hospital,RAIPUR,21.2294448,81.597827,0.4781826078822488,Medium,0.46905800838105866,0.00015819552051516244,0.47446612752317957,Medium
node/6965834122,Bachpan Hospital,Hospital,RAIPUR,21.2293683,81.6000053,0.4781826078822488,Medium,0.4682220587710381,0.00015769293421680542,0.4742060932797234,Medium
node/7288964673,Shri Jagannath Multispeciality Hospital,Hospital,RAIPUR,21.22998,81.600057,0.4781826078822488,Medium,0.46653203903699164,0.00015769293421680542,0.47369185451573104,Medium
node/6957120067,Srimaa Sarada Arogyadham,Hospital,RAIPUR,21.2308046,81.5954804,0.4781826078822488,Medium,0.4634626821380938,0.00015769293421680542,0.47276156681466924,Medium
node/6950646487,Sanjeevani Cbcc Usa Cancer Hospital,Hospital,RAIPUR,21.2142649,81.6503232,0.4781826078822488,Medium,0.4544521599520647,0.00015769293421680542,0.4700527204331971,Medium
node/7288964610,Raipura Hospital,Hospital,RAIPUR,21.2321504,81.6035435,0.4781826078822488,Medium,0.44613910662074324,0.00015769293421680542,0.4675331339550417,Medium
node/4445104811,Ramkrishna Care Hospital,Hospital,RAIPUR,21.2130814,81.6537238,0.4781826078822488,Medium,0.4458455169731513,0.00015769293421680542,0.46745315505413015,Medium
node/6968280774,"Sanjeewan Hospital, Raipur",Hospital,RAIPUR,21.2208074,81.6410136,0.4781826078822488,Medium,0.44302023591322515,0.00015769293421680542,0.46658790871727046,Medium
node/4445119946,Shri Ganesh Vinayak Eye Hospital,Hospital,RAIPUR,21.2131689,81.6561777,0.4781826078822488,Medium,0.43700031354529223,0.00015769293421680542,0.4647734497622973,Medium
node/6956655133,Shri Aurobindo Medical Research Centre,Hospital,RAIPUR,21.2145777,81.6542597,0.4781826078822488,Medium,0.43181690332226214,0.00015769293421680542,0.46321065836389125,Medium
