horizon,model,val_roc_auc,test_roc_auc,test_precision_at_k,test_recall,test_f1,decision_threshold,k,risk_type,horizon_bucket
outage_24h,xgb,0.9837840854807636,0.9917802167629816,1.0,0.827865831183192,0.897861283230062,0.48,3290,outage,24h
outage_24h,rf,0.9553716196063893,0.9811835954363685,0.99209726443769,0.4979727239218577,0.6600977198697069,0.45999999999999996,3290,outage,24h
outage_7d,rf,0.7956140205723408,0.7432547096246391,0.9072948328267477,0.4068727250293047,0.541528102804122,0.47,3290,outage,7d
outage_7d,xgb,0.8213796133683098,0.723190557866387,0.9246200607902736,0.5072490591646616,0.586615296803653,0.41000000000000003,3290,outage,7d
flood_24h,xgb,0.9985494232496753,0.9979172607210341,1.0,0.9605557750559726,0.9728558089902628,0.53,3290,flood,24h
flood_24h,rf,0.9843738815559715,0.9776347363628999,1.0,0.8023837745291716,0.8821080826727477,0.58,3290,flood,24h
flood_7d,rf,0.7788179644726203,0.8806119799510815,0.9987841945288753,0.6992946471071877,0.8016270648345653,0.35,3290,flood,7d
flood_7d,xgb,0.7036537118377347,0.8543297630835622,0.9987841945288753,0.646631182656108,0.7575857436183426,0.37,3290,flood,7d
water_shortage_24h,xgb,0.9948989322851218,0.9999999999999999,0.7458966565349544,1.0,1.0,0.36,3290,water_shortage,24h
water_shortage_24h,rf,0.9885946335448604,0.9998777787173238,0.7458966565349544,1.0,0.9933211900425015,0.39,3290,water_shortage,24h
water_shortage_7d,xgb,0.517669240663759,0.8384001487792354,0.6328267477203647,0.5396578538102644,0.5486888918171037,0.38,3290,water_shortage,7d
water_shortage_7d,rf,0.5210678538571623,0.8368189142403692,0.5498480243161095,0.39968895800933124,0.48851576112783146,0.27,3290,water_shortage,7d
sanitation_failure_24h,xgb,0.9955920497093258,0.9940371168371147,1.0,0.9315379847096907,0.9515936114824457,0.5700000000000001,3290,sanitation_failure,24h
sanitation_failure_24h,rf,0.9770712524432452,0.9648122867211341,0.998176291793313,0.7011502169570907,0.8102837585067856,0.58,3290,sanitation_failure,24h
sanitation_failure_7d,rf,0.7478676885251758,0.8440747690819776,0.996048632218845,0.45201714851049796,0.6109728464767282,0.31,3290,sanitation_failure,7d
sanitation_failure_7d,xgb,0.729241918526911,0.7990496629038649,0.9063829787234042,0.387875123667143,0.5349048737967104,0.30000000000000004,3290,sanitation_failure,7d
human_impact_24h,rf,0.9999086777860893,1.0,1.0,1.0,1.0,0.28,3290,human_impact,24h
human_impact_24h,xgb,0.9999111520932086,1.0,1.0,1.0,1.0,0.18,3290,human_impact,24h
human_impact_7d,xgb,0.7797468493355234,0.4533490716449911,0.13495440729483282,1.0,0.29850283143278256,0.1,3290,human_impact,7d
human_impact_7d,rf,0.8053319508735254,0.39429835717019174,0.1817629179331307,1.0,0.29850283143278256,0.1,3290,human_impact,7d
