X,Y,id,@id,addr:city,addr:district,addr:full,addr:housenumber,addr:postcode,addr:state,addr:street,addr:subdistrict,amenity,check_date,contact:phone,description,education,emergency,grades,healthcare,healthcare:speciality,name,operator,operator:type,phone,religion,shop,source,website,wheelchair,wikidata
81.6232005,21.2414376,node/3774564938,node/3774564938,Raipur,,,,"492001",,budhapara,,hospital,,,hospital,,yes,,hospital,,bagri nursing home,nursing,,,,,,,,
81.6537238,21.2130814,node/4445104811,node/4445104811,Raipur,Raipur,"(Ramkrishna Care Medical Sciences Pvt Ltd) Aurobindo Enclave,Pachpedi Naka,Dhamatri Road",,"492001",Chhattisgarh,"Aurobindo Enclave, Pachpedi Naka, Dhamtari Road, NH43,",,hospital,,,,,no,,,,Ramkrishna Care Hospital,,,+91 7713003300,,,OpenGovernmentData,https://www.carehospitals.com/,,
81.657736,21.2132613,node/4445112827,node/4445112827,Raipur,Raipur,"Dhamtari Road, Lalpur Near Pachpedi Naka",,"492015",Chhattisgarh,"Dhamtari Road, Lalpur",,hospital,,,,,yes,,,,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,,,+91 7714210901,,,OpenGovernmentData,,,
81.6060273,21.2584938,node/4445113471,node/4445113471,Raipur,Raipur,"Kota Gudhiyari Road, Behind Hotel Piccadilly",,"492010",Chhattisgarh,"Gudhiyari Road, Behind hotel piccadily, kota",,hospital,,"7712575833",,,yes,,,,Suyash Superspeciality Hospital,,,+91 7712575275,,,OpenGovernmentData,www.suyashhospitalsraipur.com,,
81.6635818,21.1943876,node/4445117924,node/4445117924,raipur,,,,"492015",,Devpuni-dunda road krishna puram dundaraipur,,school,,,,,,,,,Krishna Public School,,,"7714289200",,,,,,
81.6561777,21.2131689,node/4445119946,node/4445119946,Raipur,,,,"492001",,"Infront of colors mall, Dhamtari road",,hospital,,,,,yes,,,,Shri Ganesh Vinayak Eye Hospital,,,+91 7714077741,,,,https://sgveh.com/,,
81.6480843,21.2374171,node/4445120486,node/4445120486,raipur,,,,"492001",,Near IDBI bank civil lines katara Talab raipur,,school,,,,,,,,,Holy Heartseducational academy,,,"7712431088",,,,,,
81.6495081,21.2349537,node/4445126014,node/4445126014,raipur,,,,"492001",,"Shree prahalad ahuya foundation, katora Talab civil lines talab",,school,,,,,,,,,Mayoor school,,,"7714235000",,,,,,
81.6632415,21.2520112,node/4445129008,node/4445129008,Raipur,Raipur,"Sector - 1, Shankar Nagar",,"492007",Chhattisgarh,"Infront of shankar nagargarden, main road, sector-1, shankar nagar,",,hospital,,"7712425778",,,yes,,,,Vardaan Hospital (Unit Of Jindal Medicare),,,+91 7712425778,,,OpenGovernmentData,www.vardaanhospital.com,,
81.6413322,21.2349337,node/4445137285,node/4445137285,Raipur,Raipur,"Opposite Ashirwad Bhawan, Byron Bazar",,"492001",Chhattisgarh,"Near mahila police thane, byron bazar road",,hospital,,,,,yes,,,,Bal Gopal Children Hospital and Research Institute,,,+91 7714225600,,,OpenGovernmentData,www.balgopalhospital.in,,
81.6293508,21.2403202,node/4445146001,node/4445146001,Raipur,,,,"492001",,"TatyaparaChowk, GE road, Tatyapara Raipur",,hospital,,,,,,,,,Yashwant Hospital,,,+91 7712539333,,,,https://www.vyhospital.in/,,
81.5742895,21.2604534,node/4445158557,node/4445158557,raipur,,,,"492001",,GE roadtatibandh raipur,,school,,,,,,,,,Bharat Mata higher secondary school,,,"7712573485",,,,,,
81.6522695,21.2188586,node/4445165297,node/4445165297,raipur,,,,"492001",,Newrajendra nagar raipur,,school,,,,,,,,,Dronacharya public school,,,"9425296305",,,,,,
81.5880403,21.2451205,node/4445176350,node/4445176350,raipur,,,,"492010",,"Pt. ravi shankar shukla university campus, raipur",,school,,,,,,,,,The Radient Way School,,,"7712263566",,,,,,
81.6602541,21.2617556,node/4445182024,node/4445182024,raipur,,,,"492001",,Byson Bazar near gopal childrens hospital raipur,,school,,,,,,,,,Holy cross senior secondary school,,,+91 77124 24941,,,,,,
81.7017642,21.2885051,node/4445255005,node/4445255005,raipur,,,,"492007",,saddu-baronda roadraronda raipur,,school,,,,,,,,,Bharatiya vidya bhuvans R.K. sarda vidya mandir,,,,,,,,,
81.6704839,21.2515714,node/4445258453,node/4445258453,raipur,,,,"492007",,"Gayatri nagar ,shankar nagar raipur",,school,,,,,,,,,MGM school,,,"7714013557",,,,,,
81.6883917,21.2474275,node/4445382462,node/4445382462,Raipur,,,,"492006",,"Avanthi Vihar Colony, Labhandi, Ravigram,",,school,,,,,,,,,Ryan International School,,,+91 077164 58517,,,,ryaninternational.org,,
81.6450914,21.2385713,node/4446574875,node/4446574875,Raipur,,,,"492001",,"Raj Bhavan Rd, Civil Lines",,school,,,,,,,,,Grass Memorial Ground,,,,,,,,,
81.6587146,21.260362,node/4711002386,node/4711002386,raipur,,,,"492001",,Beside crystal arcade,,hospital,,,Near Lodhipara chowk,,yes,,,,Mittal Hospital,farhan,,,,,,,,
81.6125936,21.2432541,node/4714397417,node/4714397417,,,,,,,,,school,,,,,,,,,rajkumar college,,,,,,,,,Q7286291
81.6480755,21.2274864,node/4714398161,node/4714398161,,,,,,,,,hospital,,,,,,,,,jain mandir,,,,,,,,,
81.6484364,21.2278656,node/4714398175,node/4714398175,,,,,,,,,hospital,,,,,,,,,chandak hospital,,,,,,,,,
81.649911,21.2506345,node/4714658051,node/4714658051,,,,,,,,,hospital,,,,,,,,,sukriti hospital,,,,,,,,,
81.6256611,21.2350301,node/4992889217,node/4992889217,,,,,,,,,school,,,,,,,,,Sarsvati H.S. Girl's School,,,,,,,,,
81.8506453,21.4005479,node/4994374903,node/4994374903,Raipur,,,Dipo para,,,Bangoli,,hospital,,,,,,,,,primary government hospital Bangoli,Government,,,,,,,,
81.6180852,21.2661965,node/4995334117,node/4995334117,,,,Janta Colony,,,Gudhiyari,,hospital,2026/01/16,,,,,,,,Shri Sai Ganesh Hospital,,,,,,,,,
81.6184735,21.2644553,node/4995334119,node/4995334119,,,,,,,,,school,2026/01/16,,,,,,,,Raipur Convent Hr. Sec. School,,,,,,,,,
81.6362732,21.2336814,node/5291004165,node/5291004165,,,,,,,,,school,,,,,,,,,Dani Girls Higher Secondary School,,,,,,,,,
81.6030309,21.231444,node/5292958786,node/5292958786,,,,,,,,,hospital,,,,,,,hospital,,Om Hospital,,,,,,,,,
81.7471376,21.055395,node/5314535652,node/5314535652,,,,,,,,,hospital,,,,,,,hospital,,jeevandeep hospital,,,,,,,,,
81.6073713,21.2286881,node/5316602849,node/5316602849,,,,,,,,,school,,,,,,,,,nationl convent,,,,,,,,,
81.6639038,21.2663177,node/5322573110,node/5322573110,,,,,,,,,hospital,,,,,,,hospital,,mandi gate,,,,,,,,,
81.6863964,21.1996875,node/5334723087,node/5334723087,,,,,,,,,school,,,,,,,,,Govt.School Dumartarai,,,,,,,,,
81.6545326,21.2284143,node/5556568170,node/5556568170,,Raipur,"C-63, Shailendra Nagar, Near Rajendra Nagar Police Chowki",,"492001",Chhattisgarh,,,hospital,,,,,,,hospital,,Navkar Hospital and Maternity Home,,,,,,OpenGovernmentData,,,
81.635563,21.3057768,node/6008131671,node/6008131671,birgaon,,,dewangan auto center,"493221",,bilashpur road,,hospital,,,,,,,hospital,,sharda hospital birgaon,,,,,,,,,
81.6344311,21.3063415,node/6008131672,node/6008131672,,,,,,,,,school,,,,,,,,,aadvani Govt.H.S. School Birgaon,,,,,,,,,
81.633495,21.3054532,node/6008131673,node/6008131673,Birgaon,,,,"493221",,,,hospital,,,,,,,hospital,,N.K.D. Hospital,,,,,,,,,
81.6118512,21.2342393,node/6022759660,node/6022759660,,,,,,,,,hospital,,,,,,,hospital,,,,,,,,,,,
81.5936087,21.2428278,node/6024936693,node/6024936693,,,,,,,,,hospital,,,,,no,,hospital,,hospital pt. rsu,,,,,,,,,
81.6649533,21.2275847,node/6026832433,node/6026832433,,,,,,,,,school,,,,,,,,,School Number 1,little flowers school,,,,,,,,
81.6652611,21.2284159,node/6026832450,node/6026832450,,,,,,,,,hospital,,,,,,,hospital,,Nursing Home,,,,,,,,,
81.6624265,21.2214164,node/6026832463,node/6026832463,,,,,,,,,school,,,,,,,,,Dronacharya School,,,,,,,,,
81.5972333,21.2406958,node/6026845325,node/6026845325,,,,,,,,,school,,,,,,,,,LITTILE FLOWER SCHOOL,,,,,,,,,
81.6360801,21.2333529,node/6185331289,node/6185331289,,,,,,,,,school,,,,,,,,,DANI GIRLS SCHOOL,,,,,,,,,
