facility_id,facility_name,facility_type,district,crs,risk_level,last_updated
node/6956627669,Raipur Institute Of Medical Sciences Hospital,Hospital,RAIPUR,0.375,High,2026-03-14 02:31:42
node/7148125239,Government hospital arang,Hospital,RAIPUR,0.375,High,2026-03-14 02:31:42
node/7148125257,Goverment hospital Gobra Nawapara,Hospital,RAIPUR,0.375,High,2026-03-14 02:31:42
node/12276858430,"Campion School, Raipur",School,RAIPUR,0.375,High,2026-03-14 02:31:42
node/6965834182,Jyoti Hospital and Prasuti Griha,Hospital,RAIPUR,0.39430115022655976,High,2026-03-14 02:31:42
node/7148125143,"Government Hospital, Tilda",Hospital,RAIPUR,0.39430115022655976,High,2026-03-14 02:31:42
node/6966792004,Evangelical Mission Hospital,Hospital,RAIPUR,0.39430115022655976,High,2026-03-14 02:31:42
node/6966522779,Mgm Eye Hospital,Hospital,RAIPUR,0.40122865109794353,Medium,2026-03-14 02:31:42
node/4445255005,Bharatiya vidya bhuvans R.K. sarda vidya mandir,School,RAIPUR,0.40122865109794353,Medium,2026-03-14 02:31:42
node/7148125120,Government Hospital Uparwara,Hospital,RAIPUR,0.4519539567843054,Medium,2026-03-14 02:31:42
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445126014,Mayoor school,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445117924,Krishna Public School,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445119946,Shri Ganesh Vinayak Eye Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445120486,Holy Heartseducational academy,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/3774564938,bagri nursing home,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445258453,MGM school,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445382462,Ryan International School,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4446574875,Grass Memorial Ground,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4711002386,Mittal Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/5556568170,Navkar Hospital and Maternity Home,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6283904436,Dispensary,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6950645744,Karma Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6950645749,Chhattisgarh Eye Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6956627645,"Samarpan Hospital, Raipur",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445146001,Yashwant Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445137285,Bal Gopal Children Hospital and Research Institute,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445158557,Bharat Mata higher secondary school,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445165297,Dronacharya public school,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445176350,The Radient Way School,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445104811,Ramkrishna Care Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6957120067,Srimaa Sarada Arogyadham,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/6956629791,Prannath Mission Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
