event_date,climate_gwl,climate_rainfall,climate_river_level,outage_events,hospital_events,school_events,target_outage_next_24h,dow,month,outage_events_lag1,outage_events_roll3
2022-01-04,0.0,11.8,314.65635849056605,0.0,0.0,0.0,0,1,1,0.0,0.0
2022-02-04,0.0,11.8,315.19719642857143,0.0,0.0,0.0,0,4,2,0.0,0.0
2022-02-15,0.0,12.8,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0
2022-02-16,0.0,12.8,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0
2022-02-17,0.0,12.78,0.0,0.0,0.0,0.0,0,3,2,0.0,0.0
2022-02-18,0.0,12.74,0.0,0.0,0.0,0.0,0,4,2,0.0,0.0
2022-02-21,0.0,12.7,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0
2022-02-22,0.0,12.678260869565216,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0
2022-02-23,0.0,12.656521739130431,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0
2022-02-24,0.0,12.604347826086956,0.0,0.0,0.0,0.0,0,3,2,0.0,0.0
2022-02-25,0.0,12.6,0.0,0.0,0.0,0.0,0,4,2,0.0,0.0
2022-02-26,0.0,12.6,0.0,0.0,0.0,0.0,0,5,2,0.0,0.0
2022-02-27,0.0,12.586363636363636,0.0,0.0,0.0,0.0,0,6,2,0.0,0.0
2022-02-28,0.0,12.566666666666668,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0
2022-03-01,0.0,12.5,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0
2022-03-02,0.0,12.5,0.0,0.0,0.0,0.0,0,2,3,0.0,0.0
2022-03-03,0.0,12.5,0.0,0.0,0.0,0.0,0,3,3,0.0,0.0
2022-03-04,0.0,12.3,314.0265,0.0,0.0,0.0,0,4,3,0.0,0.0
2022-03-05,0.0,12.442105263157895,0.0,0.0,0.0,0.0,0,5,3,0.0,0.0
2022-03-06,0.0,12.4,0.0,0.0,0.0,0.0,0,6,3,0.0,0.0
2022-03-07,0.0,12.4,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0
2022-03-08,0.0,12.4,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0
2022-03-09,0.0,12.375,282.484,0.0,0.0,0.0,0,2,3,0.0,0.0
2022-03-12,0.0,0.0,0.4352857142857143,0.0,0.0,0.0,0,5,3,0.0,0.0
2022-03-13,0.0,12.283333333333331,210.0722692307692,0.0,0.0,0.0,0,6,3,0.0,0.0
2022-03-14,0.0,12.25625,218.7985416666667,0.0,0.0,0.0,0,0,3,0.0,0.0
2022-03-15,0.0,12.216666666666663,227.0997471264368,0.0,0.0,0.0,0,1,3,0.0,0.0
2022-03-16,0.0,12.2,225.60846391752577,0.0,0.0,0.0,0,2,3,0.0,0.0
2022-03-17,0.0,12.195238095238093,216.40664130434783,0.0,0.0,0.0,0,3,3,0.0,0.0
2022-03-18,0.0,12.16111111111111,221.36098924731184,0.0,0.0,0.0,0,4,3,0.0,0.0
2022-03-19,0.0,12.1,223.3048817204301,0.0,0.0,0.0,0,5,3,0.0,0.0
2022-03-20,0.0,11.66,229.79490721649483,0.0,0.0,0.0,0,6,3,0.0,0.0
2022-03-21,0.0,12.1,225.15742857142857,0.0,0.0,0.0,0,0,3,0.0,0.0
2022-03-22,0.0,12.1,223.03098630136984,0.0,0.0,0.0,0,1,3,0.0,0.0
2022-03-23,0.0,12.042857142857144,230.4163333333333,0.0,0.0,0.0,0,2,3,0.0,0.0
2022-03-24,0.0,12.0,244.04722222222225,0.0,0.0,0.0,0,3,3,0.0,0.0
2022-03-25,0.0,12.022222222222222,230.17663265306123,0.0,0.0,0.0,0,4,3,0.0,0.0
2022-03-26,0.0,11.990909090909092,217.6216224489796,0.0,0.0,0.0,0,5,3,0.0,0.0
2022-03-27,0.0,11.935,224.4106213592233,0.0,0.0,0.0,0,6,3,0.0,0.0
2022-03-28,0.0,11.9,234.2260319148936,0.0,0.0,0.0,0,0,3,0.0,0.0
2022-03-29,0.0,11.909090909090908,288.77866666666665,0.0,0.0,0.0,0,1,3,0.0,0.0
2022-03-30,0.0,11.895,292.87583606557376,0.0,0.0,0.0,0,2,3,0.0,0.0
2022-03-31,0.0,11.842105263157896,304.44810169491524,0.0,0.0,0.0,0,3,3,0.0,0.0
2022-04-01,0.0,0.0,0.4333999999999999,0.0,0.0,0.0,0,4,4,0.0,0.0
2022-04-02,0.0,0.0,0.4336666666666666,0.0,0.0,0.0,0,5,4,0.0,0.0
2022-04-03,0.0,11.9,0.4331666666666667,0.0,0.0,0.0,0,6,4,0.0,0.0
2022-04-04,0.0,12.712820512820514,280.02022222222223,0.0,0.0,0.0,0,0,4,0.0,0.0
2022-04-05,0.0,0.0,0.433,0.0,0.0,0.0,0,1,4,0.0,0.0
2022-04-06,0.0,0.0,0.4331428571428571,0.0,0.0,0.0,0,2,4,0.0,0.0
2022-04-07,0.0,0.0,0.4331428571428571,0.0,0.0,0.0,0,3,4,0.0,0.0
2022-04-08,0.0,0.0,0.4326666666666667,0.0,0.0,0.0,0,4,4,0.0,0.0
2022-04-09,0.0,0.0,0.433,0.0,0.0,0.0,0,5,4,0.0,0.0
2022-04-10,0.0,0.0,0.4324999999999999,0.0,0.0,0.0,0,6,4,0.0,0.0
2022-04-11,0.0,11.7,0.433,0.0,0.0,0.0,0,0,4,0.0,0.0
2022-04-12,0.0,12.825,239.87017307692307,0.0,0.0,0.0,0,1,4,0.0,0.0
2022-04-13,0.0,12.973913043478262,237.85840196078436,0.0,0.0,0.0,0,2,4,0.0,0.0
2022-04-14,0.0,12.960869565217392,243.4389042553192,0.0,0.0,0.0,0,3,4,0.0,0.0
2022-04-15,0.0,13.017391304347829,232.00986597938143,0.0,0.0,0.0,0,4,4,0.0,0.0
2022-04-16,0.0,13.043478260869565,221.95859405940595,0.0,0.0,0.0,0,5,4,0.0,0.0
2022-04-17,0.0,13.021739130434783,236.72574747474744,0.0,0.0,0.0,0,6,4,0.0,0.0
2022-04-18,0.0,13.056521739130435,252.34537894736843,0.0,0.0,0.0,0,0,4,0.0,0.0
2022-04-19,0.0,13.013636363636364,231.83891489361704,0.0,0.0,0.0,0,1,4,0.0,0.0
2022-04-20,0.0,12.934782608695652,234.63276,0.0,0.0,0.0,0,2,4,0.0,0.0
2022-04-21,0.0,11.6375,231.11005154639176,0.0,0.0,0.0,0,3,4,0.0,0.0
2022-04-22,0.0,12.26,225.90827450980396,0.0,0.0,0.0,0,4,4,0.0,0.0
2022-04-23,0.0,12.991304347826087,249.59716037735848,0.0,0.0,0.0,0,5,4,0.0,0.0
2022-04-24,0.0,13.3,282.1839761904762,0.0,0.0,0.0,0,6,4,0.0,0.0
2022-04-25,0.0,0.0,343.5833333333333,0.0,0.0,0.0,0,0,4,0.0,0.0
2022-04-26,0.0,12.876923076923076,262.9223116883117,0.0,0.0,0.0,0,1,4,0.0,0.0
2022-04-27,0.0,12.982608695652177,244.96137398373983,0.0,0.0,0.0,0,2,4,0.0,0.0
2022-04-28,0.0,13.018181818181818,247.85570434782608,0.0,0.0,0.0,0,3,4,0.0,0.0
2022-04-29,0.0,13.030434782608696,259.95492660550457,0.0,0.0,0.0,0,4,4,0.0,0.0
2022-04-30,0.0,13.045454545454543,265.881125,0.0,0.0,0.0,0,5,4,0.0,0.0
2022-05-01,0.0,12.991304347826087,262.6453148148148,0.0,0.0,0.0,0,6,5,0.0,0.0
2022-05-02,0.0,12.995652173913046,257.8403739130435,0.0,0.0,0.0,0,0,5,0.0,0.0
2022-05-03,0.0,13.039130434782608,246.64162096774197,0.0,0.0,0.0,0,1,5,0.0,0.0
2022-05-04,0.0,12.973913043478262,250.66375630252105,0.0,0.0,0.0,0,2,5,0.0,0.0
2022-05-05,0.0,13.02608695652174,259.45854237288137,0.0,0.0,0.0,0,3,5,0.0,0.0
2022-05-06,0.0,13.0,258.65326126126126,0.0,0.0,0.0,0,4,5,0.0,0.0
2022-05-07,0.0,12.972727272727274,254.8772173913044,0.0,0.0,0.0,0,5,5,0.0,0.0
2022-05-08,0.0,12.965217391304348,254.8778018018018,0.0,0.0,0.0,0,6,5,0.0,0.0
2022-05-09,0.0,13.060869565217391,250.01591379310344,0.0,0.0,0.0,0,0,5,0.0,0.0
2022-05-10,0.0,13.034782608695652,249.47845378151263,0.0,0.0,0.0,0,1,5,0.0,0.0
2022-05-11,0.0,13.021739130434783,248.99033050847456,0.0,0.0,0.0,0,2,5,0.0,0.0
2022-05-12,0.0,13.017391304347829,254.6146724137931,0.0,0.0,0.0,0,3,5,0.0,0.0
2022-05-13,0.0,12.973913043478262,245.74888034188032,0.0,0.0,0.0,0,4,5,0.0,0.0
2022-05-14,0.0,13.030434782608696,249.2527731092437,0.0,0.0,0.0,0,5,5,0.0,0.0
2022-05-15,0.0,11.44375,269.12001886792456,0.0,0.0,0.0,0,6,5,0.0,0.0
2022-05-16,0.0,13.32222222222222,283.0395607476636,0.0,0.0,0.0,0,0,5,0.0,0.0
2022-05-17,0.0,12.932,271.5144234234234,0.0,0.0,0.0,0,1,5,0.0,0.0
2022-05-18,0.0,10.99705882352941,268.7675172413793,0.0,0.0,0.0,0,2,5,0.0,0.0
2022-05-19,0.0,13.141666666666666,257.5359716981132,0.0,0.0,0.0,0,3,5,0.0,0.0
2022-05-20,0.0,0.0,261.2469888888889,0.0,0.0,0.0,0,4,5,0.0,0.0
2022-05-21,0.0,0.0,286.6837662337663,0.0,0.0,0.0,0,5,5,0.0,0.0
2022-05-22,0.0,0.0,273.848397260274,0.0,0.0,0.0,0,6,5,0.0,0.0
2022-05-23,0.0,13.1,253.01589743589744,0.0,0.0,0.0,0,0,5,0.0,0.0
2022-05-24,0.0,1.0,256.8869350649351,0.0,0.0,0.0,0,1,5,0.0,0.0
2022-05-25,0.0,0.0,253.4846075949367,0.0,0.0,0.0,0,2,5,0.0,0.0
2022-05-26,0.0,5.433333333333334,273.68790410958906,0.0,0.0,0.0,0,3,5,0.0,0.0
2022-05-27,0.0,3.6666666666666665,199.9134605263158,0.0,0.0,0.0,0,4,5,0.0,0.0
2022-05-28,0.0,19.5,163.3583285714286,0.0,0.0,0.0,0,5,5,0.0,0.0
2022-05-29,0.0,7.6,148.0989487179487,0.0,0.0,0.0,0,6,5,0.0,0.0
2022-05-30,0.0,7.2,151.2613,0.0,0.0,0.0,0,0,5,0.0,0.0
2022-05-31,0.0,0.0,159.31907792207792,0.0,0.0,0.0,0,1,5,0.0,0.0
2022-06-01,0.0,0.5,158.81867532467533,0.0,0.0,0.0,0,2,6,0.0,0.0
2022-06-02,0.0,12.8,159.68160256410255,0.0,0.0,0.0,0,3,6,0.0,0.0
2022-06-03,0.0,0.0,147.86458974358973,0.0,0.0,0.0,0,4,6,0.0,0.0
2022-06-04,0.0,4.0,184.37184615384612,0.0,0.0,0.0,0,5,6,0.0,0.0
2022-06-05,0.0,3.25,241.34153846153848,0.0,0.0,0.0,0,6,6,0.0,0.0
2022-06-06,0.0,13.4,224.5990357142857,0.0,0.0,0.0,0,0,6,0.0,0.0
2022-06-07,0.0,0.0,179.39402127659574,0.0,0.0,0.0,0,1,6,0.0,0.0
2022-06-08,0.0,0.0,244.36993220338985,0.0,0.0,0.0,0,2,6,0.0,0.0
2022-06-09,0.0,6.0,242.68056338028168,0.0,0.0,0.0,0,3,6,0.0,0.0
2022-06-10,0.0,1.0,249.0194939759036,0.0,0.0,0.0,0,4,6,0.0,0.0
2022-06-11,0.0,5.40625,243.18614814814816,0.0,0.0,0.0,0,5,6,0.0,0.0
2022-06-12,0.0,5.5,225.84898165137616,0.0,0.0,0.0,0,6,6,0.0,0.0
2022-06-13,0.0,4.0,243.75466371681412,0.0,0.0,0.0,0,0,6,0.0,0.0
2022-06-14,0.0,5.571428571428571,235.52885593220336,0.0,0.0,0.0,0,1,6,0.0,0.0
2022-06-15,0.0,1.425,237.8075847457627,0.0,0.0,0.0,0,2,6,0.0,0.0
2022-06-16,0.0,3.1666666666666665,237.2006722689076,0.0,0.0,0.0,0,3,6,0.0,0.0
2022-06-17,0.0,5.875,263.71803,0.0,0.0,0.0,0,4,6,0.0,0.0
2022-06-18,0.0,3.264705882352941,258.1692692307692,0.0,0.0,0.0,0,5,6,0.0,0.0
2022-06-19,0.0,10.65,267.32196039603963,0.0,0.0,0.0,0,6,6,0.0,0.0
2022-06-20,0.0,4.826923076923077,249.4574,0.0,0.0,0.0,0,0,6,0.0,0.0
2022-06-21,0.0,1.5,162.28603448275862,0.0,0.0,0.0,0,1,6,0.0,0.0
2022-06-22,0.0,3.0,160.66254545454547,0.0,0.0,0.0,0,2,6,0.0,0.0
2022-06-23,0.0,1.9,299.2686976744186,0.0,0.0,0.0,0,3,6,0.0,0.0
2022-06-24,0.0,7.565217391304348,304.79886458333334,0.0,0.0,0.0,0,4,6,0.0,0.0
2022-06-25,0.0,3.5,304.1631914893617,0.0,0.0,0.0,0,5,6,0.0,0.0
2022-06-26,0.0,2.9545454545454546,303.6677291666667,0.0,0.0,0.0,0,6,6,0.0,0.0
2022-06-27,0.0,3.5,303.6024444444444,0.0,0.0,0.0,0,0,6,0.0,0.0
2022-06-28,0.0,7.0,0.0,0.0,0.0,0.0,0,1,6,0.0,0.0
2022-06-29,0.0,6.5227272727272725,0.0,0.0,0.0,0.0,0,2,6,0.0,0.0
2022-06-30,0.0,3.305555555555556,0.0,0.0,0.0,0.0,0,3,6,0.0,0.0
2022-07-01,0.0,4.875,0.0,0.0,0.0,0.0,0,4,7,0.0,0.0
2022-07-02,0.0,5.033333333333333,0.0,0.0,0.0,0.0,0,5,7,0.0,0.0
2022-07-03,0.0,1.4166666666666667,0.0,0.0,0.0,0.0,0,6,7,0.0,0.0
2022-07-04,0.0,3.8,0.0,0.0,0.0,0.0,0,0,7,0.0,0.0
2022-07-05,0.0,0.7352941176470589,0.0,0.0,0.0,0.0,0,1,7,0.0,0.0
2022-07-06,0.0,4.858695652173913,0.0,0.0,0.0,0.0,0,2,7,0.0,0.0
2022-07-07,0.0,8.208333333333334,0.0,0.0,0.0,0.0,0,3,7,0.0,0.0
2022-07-08,0.0,5.080645161290323,0.0,0.0,0.0,0.0,0,4,7,0.0,0.0
2022-07-09,0.0,2.671052631578948,0.0,0.0,0.0,0.0,0,5,7,0.0,0.0
2022-07-10,0.0,3.726190476190476,0.0,0.0,0.0,0.0,0,6,7,0.0,0.0
2022-07-11,0.0,4.725,0.0,0.0,0.0,0.0,0,0,7,0.0,0.0
2022-07-12,0.0,5.4907407407407405,0.0,0.0,0.0,0.0,0,1,7,0.0,0.0
2022-07-13,0.0,6.171875,0.0,0.0,0.0,0.0,0,2,7,0.0,0.0
2022-07-14,0.0,2.571428571428572,0.0,0.0,0.0,0.0,0,3,7,0.0,0.0
2022-07-15,0.0,2.611111111111111,0.0,0.0,0.0,0.0,0,4,7,0.0,0.0
2022-07-16,0.0,2.6129032258064515,0.0,0.0,0.0,0.0,0,5,7,0.0,0.0
2022-07-17,0.0,3.876543209876543,0.0,0.0,0.0,0.0,0,6,7,0.0,0.0
2022-07-18,0.0,0.7083333333333334,0.0,0.0,0.0,0.0,0,0,7,0.0,0.0
2022-07-19,0.0,1.0909090909090908,0.0,0.0,0.0,0.0,0,1,7,0.0,0.0
2022-07-20,0.0,0.5,0.0,0.0,0.0,0.0,0,2,7,0.0,0.0
2022-07-21,0.0,6.538461538461538,0.0,0.0,0.0,0.0,0,3,7,0.0,0.0
2022-07-22,0.0,5.109090909090909,0.0,0.0,0.0,0.0,0,4,7,0.0,0.0
2022-07-23,0.0,4.264705882352941,0.0,0.0,0.0,0.0,0,5,7,0.0,0.0
