facility_id,facility_name,facility_type,district,latitude,longitude,type_multiplier,pred_outage_prob_24h,crs,risk_level,priority_score,predicted_risk_label
node/4445117924,Krishna Public School,School,RAIPUR,21.1943876,81.6635818,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4445120486,Holy Heartseducational academy,School,RAIPUR,21.2374171,81.6480843,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4445126014,Mayoor school,School,RAIPUR,21.2349537,81.6495081,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4445158557,Bharat Mata higher secondary school,School,RAIPUR,21.2604534,81.5742895,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4445165297,Dronacharya public school,School,RAIPUR,21.2188586,81.6522695,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4445176350,The Radient Way School,School,RAIPUR,21.2451205,81.5880403,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4445182024,Holy cross senior secondary school,School,RAIPUR,21.2617556,81.6602541,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4445258453,MGM school,School,RAIPUR,21.2515714,81.6704839,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4445382462,Ryan International School,School,RAIPUR,21.2474275,81.6883917,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4446574875,Grass Memorial Ground,School,RAIPUR,21.2385713,81.6450914,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/7736593775,Shri Venkatesh School,School,RAIPUR,21.2783652,81.6748896,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/8322190354,Daffodils English School,School,RAIPUR,21.2574871,81.6049235,1.25,0.5700012424527763,0.478182608,Medium,0.5332737886716657,Medium
node/4994374903,primary government hospital Bangoli,Hospital,RAIPUR,21.4005479,81.8506453,1.0,0.456000993962221,0.625,Medium,0.5236005963773326,Medium
node/7148125111,Government Hospital Farfoud,Hospital,RAIPUR,21.2743757,81.9506788,1.0,0.456000993962221,0.625,Medium,0.5236005963773326,Medium
node/4445255005,Bharatiya vidya bhuvans R.K. sarda vidya mandir,School,RAIPUR,21.2885051,81.7017642,1.25,0.5700012424527763,0.401228651,Medium,0.5024922058716658,Medium
node/12276858430,"Campion School, Raipur",School,RAIPUR,21.2878259,81.7170313,1.25,0.5700012424527763,0.375,High,0.4920007454716658,Medium
node/3774564938,bagri nursing home,Hospital,RAIPUR,21.2414376,81.6232005,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/4445104811,Ramkrishna Care Hospital,Hospital,RAIPUR,21.2130814,81.6537238,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/4445112827,Narayana Hrudayalaya Mmi Hospital (Managed By Narayana Hrudayalaya Pvt Ltd - Bangalore) - Raipur,Hospital,RAIPUR,21.2132613,81.657736,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/4445113471,Suyash Superspeciality Hospital,Hospital,RAIPUR,21.2584938,81.6060273,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/4445119946,Shri Ganesh Vinayak Eye Hospital,Hospital,RAIPUR,21.2131689,81.6561777,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),Hospital,RAIPUR,21.2520112,81.6632415,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/4445137285,Bal Gopal Children Hospital and Research Institute,Hospital,RAIPUR,21.2349337,81.6413322,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/4445146001,Yashwant Hospital,Hospital,RAIPUR,21.2403202,81.6293508,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/4711002386,Mittal Hospital,Hospital,RAIPUR,21.260362,81.6587146,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/5556568170,Navkar Hospital and Maternity Home,Hospital,RAIPUR,21.2284143,81.6545326,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6283904436,Dispensary,Hospital,RAIPUR,21.2514868,81.6023593,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/6950645744,Karma Hospital,Hospital,RAIPUR,21.2401756,81.6622585,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
