SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Agar_Mungeli,Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,MUNGELI,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.0718,81.68442,11-01-2026 15:00,0.5
2,Amravati,Chhattisgarh SW,22,Chhattisgarh,374,BASTAR,MAKDI,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,19.60923,81.94571,07-01-2026 15:00,0.5
3,Antagarh,Chhattisgarh SW,22,Chhattisgarh,374,BASTAR,BASTAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.10161,81.16118,03-02-2026 17:00,0.5
4,Awapalli,Chhattisgarh SW,22,Chhattisgarh,636,BIJAPUR,USOOR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,18.5808,80.7673,29-01-2026 14:00,4.0
5,Bacheli,Chhattisgarh SW,22,Chhattisgarh,376,DANTEWADA,DANTEWADA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,18.6921,81.26144,21-01-2026 15:00,0.5
6,Bacheli,Chhattisgarh SW,22,Chhattisgarh,376,DANTEWADA,DANTEWADA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,18.6921,81.26144,23-02-2026 17:00,3.0
7,Bacheli,Chhattisgarh SW,22,Chhattisgarh,376,DANTEWADA,DANTEWADA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,18.6921,81.26144,23-02-2026 18:00,22.5
8,Bacheli,Chhattisgarh SW,22,Chhattisgarh,376,DANTEWADA,DANTEWADA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,18.6921,81.26144,24-02-2026 12:00,0.5
9,Bacheli,Chhattisgarh SW,22,Chhattisgarh,376,DANTEWADA,DANTEWADA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,18.6921,81.26144,24-02-2026 18:00,1.5
10,Badgaon,Chhattisgarh SW,22,Chhattisgarh,374,BASTAR,BASTAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.13819,80.77071,24-01-2026 13:00,1.0
11,Ballar,Chhattisgarh SW,22,Chhattisgarh,387,RAIPUR,KASDOL,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.53257,82.48972,26-01-2026 15:00,0.5
12,Banskot,Chhattisgarh SW,22,Chhattisgarh,374,BASTAR,Visrampuree,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,19.99861111,81.84472222,19-01-2026 14:00,0.5
13,Benoor,Chhattisgarh SW,22,Chhattisgarh,637,NARAYANPUR,NARAYANPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,19.65888889,81.42777778,31-01-2026 14:00,0.5
14,Benoor,Chhattisgarh SW,22,Chhattisgarh,637,NARAYANPUR,NARAYANPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,19.65888889,81.42777778,23-02-2026 17:00,1.0
15,Bhiramgarh,Chhattisgarh SW,22,Chhattisgarh,636,BIJAPUR,BHAIRAMGARH,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,19.00411,81.0558,01-01-2026 14:00,0.5
16,Bhiramgarh,Chhattisgarh SW,22,Chhattisgarh,636,BIJAPUR,BHAIRAMGARH,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,19.00411,81.0558,20-01-2026 17:00,0.5
17,Bijapur_cg,Chhattisgarh SW,22,Chhattisgarh,636,BIJAPUR,BIJAPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,18.78666667,80.81527778,29-01-2026 16:00,0.5
18,Chaki,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,RAMANUJNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.80094,83.50627,07-01-2026 14:00,0.5
19,Chaki,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,RAMANUJNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.80094,83.50627,23-02-2026 17:00,5.0
20,Chhura,Chhattisgarh SW,22,Chhattisgarh,387,RAIPUR,CHHURA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.80882,82.20646,30-01-2026 12:00,1.5
21,Devpahri,Chhattisgarh SW,22,Chhattisgarh,383,KORBA,KORBA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.63585,82.8081,05-01-2026 08:00,0.5
22,Dhurwakari,Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,MASTURI,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.84233,82.26555,02-01-2026 18:00,0.5
23,Durgkondal,Chhattisgarh SW,22,Chhattisgarh,374,BASTAR,BASTAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.22153,80.94705,23-01-2026 17:00,0.5
24,Garhfuljhar,Chhattisgarh SW,22,Chhattisgarh,385,MAHASAMUND,BASNA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.20978,82.84518,16-01-2026 13:00,4.5
25,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514,82.6113,10-01-2026 18:00,1.0
26,Hasdeo_Kodgar,Chhattisgarh SW,22,Chhattisgarh,383,KORBA,PONDI UPRORA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.01678,82.33337,23-02-2026 15:00,8.5
27,Indravati Barsur,Chhattisgarh SW,22,Chhattisgarh,376,DANTEWADA,GEEDAM,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,19.1225,81.38361111,13-01-2026 15:00,0.5
28,Jaijaipur,Chhattisgarh SW,22,Chhattisgarh,379,JANJGIR - CHAMPA,JAIJAIPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.84185,82.8336,17-01-2026 17:00,0.5
29,Jonk_Paraswani,Chhattisgarh SW,22,Chhattisgarh,385,MAHASAMUND,BASNA,-,-,Mahanadi,Mahanadi,Jonk,-,-,Jonk,21.20833333,82.6475,15-01-2026 15:00,2.5
30,Kalma Barrage,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,BARAMKELA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.68663,83.26933,03-01-2026 13:00,0.5
31,Kapot,Chhattisgarh SW,22,Chhattisgarh,383,KORBA,PALI,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.42538,82.3771,21-01-2026 14:00,0.5
32,Kaya,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,GHARGHODA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.34361,83.38561,06-01-2026 07:00,1.0
33,Kaya,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,GHARGHODA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.34361,83.38561,26-01-2026 10:00,1.0
34,Kaya,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,GHARGHODA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.34361,83.38561,26-01-2026 11:00,2.0
35,Kedar Nalla,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,SARANGARH,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.56416667,82.97333333,22-01-2026 14:00,1.0
36,Kelo Reservoir,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,RAIGARH,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.95055556,83.39194444,02-01-2026 16:00,1.0
37,Kelo Reservoir,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,RAIGARH,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.95055556,83.39194444,29-01-2026 17:00,0.5
38,Kelo Reservoir,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,RAIGARH,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.95055556,83.39194444,13-02-2026 12:00,0.5
39,Kharang,Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,KOTA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.28888889,82.21888889,07-01-2026 14:00,0.5
40,Kharkhara,Chhattisgarh SW,22,Chhattisgarh,378,DURG,DONDILOHARA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.83541,80.98688,05-01-2026 15:00,0.5
41,Kharkhara,Chhattisgarh SW,22,Chhattisgarh,378,DURG,DONDILOHARA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,20.83541,80.98688,23-02-2026 12:00,0.5
42,Kharun_Amdi,Chhattisgarh SW,22,Chhattisgarh,387,RAIPUR,ABHANPUR,-,-,Mahanadi,Mahanadi,Seonath,kharun,kharun,kharun,21.09888889,81.57694444,20-01-2026 18:00,0.5
43,Kharun_Amdi,Chhattisgarh SW,22,Chhattisgarh,387,RAIPUR,ABHANPUR,-,-,Mahanadi,Mahanadi,Seonath,kharun,kharun,kharun,21.09888889,81.57694444,23-01-2026 11:00,0.5
44,Kinkari Nalla,Chhattisgarh SW,22,Chhattisgarh,386,RAIGARH,BARAMKELA,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.45651,83.29697,07-01-2026 15:00,1.0
45,Kisdi,Chhattisgarh SW,22,Chhattisgarh,385,MAHASAMUND,SARAIPALI,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.23139,83.03174,16-01-2026 12:00,3.5
46,Kodar,Chhattisgarh SW,22,Chhattisgarh,385,MAHASAMUND,MAHASAMUND,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,21.19325,82.181,03-02-2026 14:00,1.5
47,Konta_1,Chhattisgarh SW,22,Chhattisgarh,642,SUKMA,KONTA,-,-,Godavari,Godavari,Sabari,---,--,Sabari,17.80555556,81.38611111,05-02-2026 13:00,0.5
48,Konta_1,Chhattisgarh SW,22,Chhattisgarh,642,SUKMA,KONTA,-,-,Godavari,Godavari,Sabari,---,--,Sabari,17.80555556,81.38611111,23-02-2026 21:00,1.5
49,Kosarteda,Chhattisgarh SW,22,Chhattisgarh,374,BASTAR,Bhanpuri,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,19.44499,81.86547,08-01-2026 16:00,0.5
50,Kunwarpur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,LAKHANPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.96333,83.02488,01-01-2026 17:00,0.5
51,Kunwarpur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,LAKHANPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.96333,83.02488,16-01-2026 16:00,0.5
52,Kusmi,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,KUSMI,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.27953,83.90351,09-01-2026 15:00,1.0
