SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Air Temperature Telemetry Hourly (ºC)
1,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 00:00,10.6
2,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 01:00,9.8
3,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 02:00,9.6
4,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 03:00,9.1
5,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 04:00,8.6
6,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 05:00,8
7,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 06:00,8.3
8,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 07:00,7.7
9,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 08:00,9.5
10,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 09:00,13.1
11,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 10:00,16.9
12,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 11:00,20
13,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 13:00,24.4
14,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 14:00,25.5
15,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 15:00,25.6
16,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 16:00,24.6
17,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 17:00,22.5
18,Gej_Gouripur,Chhattisgarh SW,22,Chhattisgarh,389,SURGUJA,PREMNAGAR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,23.04514000,82.61130000,01-01-2026 18:00,20.1
